cluster_id,volume_twitter,engagement_twitter,velocity_fused,sentiment_mean,sentiment_var,trends_interest,trends_velocity,trends_topics,sample_users
59495c89bd6a811f2f230a3eddd14dc0,96,0.1455,0.5459,0.2763,0.1,0.0,0.0,,
8dc0f45132ab1588c8b39088f2ab1700,60,0.1007,0.6222,-0.0427,0.1,0.0,0.0,,
653f5657dc903b6a236e6bb1c7e30a3b,90,0.3911,0.6761,0.3374,0.1,0.0,0.0,,
65db0d58aa108b6c609ebe1892d9bd4e,97,0.3619,0.6316,0.3702,0.1,0.0,0.0,,
45385eeb23908dacc64c493243ed88a3,29,0.3568,0.6839,-0.309,0.1,0.0,0.0,,
feea7868dfd4581ab85dcd309cf30add,116,0.196,0.6695,-0.3302,0.1,0.0,0.0,,
57a72530a68c8363392911e12385bde7,2,0.1657,0.3032,-0.0305,0.1,0.0,0.0,,
dbdc4b80f2559c9ce0697587fe8a71af,96,0.1625,0.3058,-0.3442,0.1,0.0,0.0,,
354f36f937a4e97fad9441673e2bce21,32,0.2542,0.524,0.2587,0.1,0.0,0.0,,
7c4d8c8795b828941dfc9aba49bd50e7,98,0.27,0.4288,-0.2684,0.1,0.0,0.0,,
f261e3dc50b9f154f14760d635197192,57,0.1208,0.255,-0.1064,0.1,0.0,0.0,,
3baaba33992e71457e9ac52acb0a9c50,21,0.3473,0.263,0.0438,0.1,0.0,0.0,,
c5121ba7b85d7b6bea3d1defdad0e006,54,0.4949,0.0465,0.0229,0.1,0.0,0.0,,
9b085431a0ceb5d07f51de38222bcbff,105,0.3544,0.5994,0.2704,0.1,0.0,0.0,,
c7c84eae88e6d974aeee34bacc6db015,64,0.2506,0.6301,-0.3752,0.1,0.0,0.0,,
dcc34e77b15c8bc4c8978c0721017edf,99,0.3165,0.3258,0.2231,0.1,0.0,0.0,,
8d4b4106c2d0f5dfd6749953e975592f,21,0.1943,0.0576,0.015,0.1,0.0,0.0,,
c058e8624243a7e4389b8efeaf1dc717,53,0.2702,0.2852,0.1377,0.1,0.0,0.0,,
572cea8fa774ddea15e98d15c9c5183e,18,0.3185,0.2291,0.0776,0.1,0.0,0.0,,
5c9f81a594531db65b727edd48ef030b,51,0.126,0.2202,-0.0423,0.1,0.0,0.0,,
d50568662c799b882dfe5049414d094f,40,0.0351,0.485,0.3252,0.1,0.0,0.0,,
3d1a3e3c7512de438fe96703929e6d5f,99,0.0752,0.6742,-0.0847,0.1,0.0,0.0,,
b1061bc45a1add06a9d1e984ff050160,65,0.3421,0.4997,-0.1045,0.1,0.0,0.0,,
04605c2bb89173a1f9325e45419eeb74,66,0.1067,0.4715,0.3781,0.1,0.0,0.0,,
3a9d089a0053a76de8beb0ff77d96b3c,91,0.4715,0.0845,-0.1921,0.1,0.0,0.0,,
5c38d3587cf2c9346adcd82073d2cc98,71,0.4005,0.3877,-0.3617,0.1,0.0,0.0,,
16509185820bde7000cc26aeb6d9ca00,11,0.4477,0.1097,-0.1131,0.1,0.0,0.0,,
cfdf7270943cd3b839853d9904a2a87a,73,0.3641,0.5278,0.3635,0.1,0.0,0.0,,
59103eba30eb2aade03f9bd89ba45879,7,0.4374,0.6212,0.3038,0.1,0.0,0.0,,
40c627686bddb9817937686932979f9e,42,0.1833,0.1216,0.3054,0.1,0.0,0.0,,
5228a19a57a7d72a3f3db57594a5595b,7,0.2129,0.0913,0.2055,0.1,0.0,0.0,,
4d44dda5bc01f9b94d86f3d139b03956,106,0.0213,0.1547,0.2015,0.1,0.0,0.0,,
54a4aa9ead82a996736d7915dc4beff1,23,0.3904,0.3973,-0.0405,0.1,0.0,0.0,,
d9e616ef8b0bbc2560713169bb609f94,21,0.2189,0.0059,0.2594,0.1,0.0,0.0,,
1c087e4fe04d57f4f23d09666a00d4b7,56,0.2705,0.6719,0.1736,0.1,0.0,0.0,,
6cba86494233a7e2fd1d5b756c536e72,51,0.1066,0.5108,0.3206,0.1,0.0,0.0,,
3af273019b3e88ba6039e00844cb9bef,60,0.2479,0.0259,0.0764,0.1,0.0,0.0,,
16d53e797cdaf4698ada550c09512c6a,54,0.2154,0.0039,-0.0631,0.1,0.0,0.0,,
2fca4fa0a0b2d7e69985dd7d178bb098,59,0.3199,0.3017,0.1177,0.1,0.0,0.0,,
07a3e2f75c2267ea9de46315c60f9e73,69,0.477,0.6369,0.3015,0.1,0.0,0.0,,
18321d520ad6239b8e1e549cc10263bd,106,0.2746,0.4577,0.1775,0.1,0.0,0.0,,
3a8ed6077bebe6a59e19b285cc6fc46d,39,0.0226,0.2427,-0.2895,0.1,0.0,0.0,,
58289f26f4d9b048c4e3a043c1093ee9,38,0.3194,0.1971,0.179,0.1,0.0,0.0,,
482476d6e782f1908fd5796fe18a60ce,2,0.4349,0.3161,-0.3701,0.1,0.0,0.0,,
7543d40a7245053c3b4d9bea4b320c2b,50,0.0649,0.4791,-0.1962,0.1,0.0,0.0,,
700067bff686d4793f986add017471d4,26,0.471,0.3966,-0.2984,0.1,0.0,0.0,,
07f498f6082531c6b69e19f77dcf3d6e,75,0.0003,0.3501,0.3897,0.1,0.0,0.0,,
941cbe346fa3decbfe830a35e15f9f27,16,0.3085,0.4794,-0.3602,0.1,0.0,0.0,,
46ed858d39955baa9bd860ddc3eeac8f,80,0.382,0.0806,-0.3838,0.1,0.0,0.0,,
d22c0e9198096bf43c3d44e85605ecaf,29,0.4707,0.5328,0.2761,0.1,0.0,0.0,,
39020e78744e75065a43f335d7400d14,85,0.2642,0.6181,-0.0745,0.1,0.0,0.0,,
0cb761b43b488fb2531a738d25ae8366,104,0.1498,0.0925,0.3372,0.1,0.0,0.0,,
f13b503913d3ad4258cbe6a7826a4c01,104,0.0374,0.1303,-0.0709,0.1,0.0,0.0,,
d3f0a861494d67a4ad51c5b393d78d54,66,0.2072,0.2325,0.0235,0.1,0.0,0.0,,
0d63ae4dcfe9ba9d4e6496586bde3047,27,0.1981,0.0475,0.176,0.1,0.0,0.0,,
5fa7d480a7f5516d5878056be8f415ab,110,0.4112,0.4441,0.396,0.1,0.0,0.0,,
47fe1cbca29f4c3e27bdd6a2f2e933ef,108,0.2695,0.3415,-0.2632,0.1,0.0,0.0,,
c88f886ba1fae46e51dc26488663c075,55,0.4247,0.6723,-0.3811,0.1,0.0,0.0,,
6b295dec62ecaf26f79aa6c6529a949e,93,0.0332,0.4378,0.3452,0.1,0.0,0.0,,
5e4928fea37f5d0db93dd07cf01f16d4,44,0.0018,0.6941,-0.0581,0.1,0.0,0.0,,
d36e22d4d6de6bf5fe6fdd477f1ba6da,110,0.3785,0.0865,0.0849,0.1,0.0,0.0,,
84bccbbc2668fea2b6a583f218083a10,75,0.2662,0.2369,0.2558,0.1,0.0,0.0,,
39133d336975eb757ddf0d3ebe765d10,117,0.0452,0.3004,-0.1265,0.1,0.0,0.0,,
511ab068bcb13030996f0183b966444d,2,0.1299,0.394,0.0841,0.1,0.0,0.0,,
97bbdb77988154e444c74ee40ad422b4,108,0.3946,0.3301,-0.1544,0.1,0.0,0.0,,
39e09aa816cdb6d12094b16ec9a989e1,103,0.2428,0.218,-0.3537,0.1,0.0,0.0,,
c732f7c811481c26fd350783d19a4201,95,0.068,0.1088,-0.202,0.1,0.0,0.0,,
