published_at,decision,headline,source,urls,why_now,hook_suggested,cta_suggested
2025-09-24T23:30:53+00:00,WATCH,Confira o resultado da Quina do concurso 6835 desta quarta (24),infomoney.com.br,https://www.infomoney.com.br/consumo/confira-o-resultado-da-quina-do-concurso-6835-desta-quarta-24/,alto alinhamento com a marca; tendência em redes/trends; fonte de alta autoridade,Por que isso importa: resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:09:26.398274+00:00,WATCH,"ONU vira palco de comédia, e um talk show vira palco de discurso político",www1.folha.uol.com.br,https://www1.folha.uol.com.br/colunas/lucia-guimaraes/2025/09/onu-vira-palco-de-comedia-e-um-talk-show-vira-palco-de-discurso-politico.shtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:09:26.398049+00:00,WATCH,Feira em São Paulo traz queijos artesanais paulistas que foram premiados na França,guia.folha.uol.com.br,https://guia.folha.uol.com.br/restaurantes/2025/09/feira-em-sao-paulo-traz-queijos-artesanais-paulistas-que-foram-premiados-na-franca.shtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:19:39+00:00,WATCH,Ibama aprova resultado do simulado da Petrobras na Foz do Amazonas e solicita ajustes,infomoney.com.br,https://www.infomoney.com.br/mercados/ibama-aprova-resultado-de-simulado-da-petrobras-na-foz-do-amazonas-pede-ajustes/,tendência em redes/trends; fonte de alta autoridade,Por que isso importa: petrobras resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T21:17:00+00:00,DROP,Former FBI Director Comey expected to be indicted soon in Virginia federal court: MSNBC,cnbc.com,https://www.cnbc.com/2025/09/24/james-comey-fbi-indictment-trump-congress.html,alto alinhamento com a marca; tendência em redes/trends,Por que isso importa: fed,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:34:00+00:00,DROP,Lotofácil 3495: confira as 15 dezenas sorteadas nesta quarta (24),infomoney.com.br,https://www.infomoney.com.br/consumo/lotofacil-3495-confira-as-15-dezenas-sorteadas-nesta-quarta-24/,tendência em redes/trends; fonte de alta autoridade,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T01:37:29+00:00,DROP,Quina hoje: resultado do concurso 6835 e números sorteados,g1.globo.com,https://g1.globo.com/loterias/quina/noticia/2025/09/24/quina-hoje-resultado-do-concurso-6835-e-numeros-sorteados.ghtml,tendência em redes/trends,Por que isso importa: resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:12:24+00:00,DROP,Câmara aprova projeto que retira do arcabouço fiscal investimentos em saúde e educação financiados com Fundo Social,g1.globo.com,https://g1.globo.com/politica/noticia/2025/09/24/camara-aprova-projeto-que-retira-do-arcabouco-fiscal-investimentos-em-saude-e-educacao-financiados-com-fundo-social.ghtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:35:14+00:00,DROP,Lotofácil hoje: resultado do concurso 3495 e números sorteados,g1.globo.com,https://g1.globo.com/loterias/lotofacil/noticia/2025/09/24/lotofacil-hoje-resultado-do-concurso-3495-e-numeros-sorteados.ghtml,tendência em redes/trends,Por que isso importa: resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:35:14+00:00,DROP,Dupla Sena hoje: resultado do concurso 2864 e números sorteados,g1.globo.com,https://g1.globo.com/loterias/dupla-sena/noticia/2025/09/24/dupla-sena-hoje-resultado-do-concurso-2864-e-numeros-sorteados.ghtml,relevância moderada,Por que isso importa: resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
