cluster_id,freshness,authority,social_velocity,engagement,sentiment,brand_fit,novelty,risk_penalty,total,decision
7e4fa4b01f3caf1a4191f2a73b2cbf9d,0.993,0.6,0.6395,0.2836,0.9329,0.75,0.0,0.85,55.3,WATCH
915832511e7b422bc1c00c9d3d225ccc,0.993,0.6,0.5224,0.0089,0.8558,0.75,0.0,0.85,50.32,WATCH
653f5657dc903b6a236e6bb1c7e30a3b,0.6243,0.9,0.57,0.3547,0.8419,0.65,0.0,0.85,50.24,WATCH
538f3d6043b38455c1814a4f3986c0b9,0.993,0.6,0.2847,0.3139,0.9977,0.75,0.0,0.85,50.08,WATCH
59103eba30eb2aade03f9bd89ba45879,0.6119,0.6,0.5919,0.394,0.7289,0.75,0.0,0.85,47.22,DROP
43818eb0c6d7ba1069726312cbc55d7a,0.9875,0.88,0.63,0.2649,0.706,0.0,0.0,0.85,46.97,DROP
d50568662c799b882dfe5049414d094f,0.6524,0.6,0.6801,0.2573,0.7046,0.65,0.0,0.85,46.77,DROP
59495c89bd6a811f2f230a3eddd14dc0,0.6497,0.9,0.3176,0.0183,0.9651,0.75,0.0,0.85,45.84,DROP
fb3adba78eeb69aa491d2adae3b43047,0.993,0.6,0.1305,0.2049,0.8648,0.75,0.0,0.85,45.4,DROP
65db0d58aa108b6c609ebe1892d9bd4e,0.5452,0.9,0.1137,0.3374,0.6847,1.0,0.0,0.85,44.11,DROP
5c38d3587cf2c9346adcd82073d2cc98,0.6431,0.6,0.363,0.436,0.7748,0.65,0.0,0.85,43.33,DROP
243aae367195cfe58d09005ecb184fe4,0.993,0.6,0.4419,0.1966,0.605,0.75,0.0,0.85,42.61,DROP
a29e4035e883cb898a739d9d64fe20c3,0.993,0.6,0.4095,0.2851,0.9828,0.0,0.0,0.85,42.27,DROP
16509185820bde7000cc26aeb6d9ca00,0.639,0.6,0.4359,0.423,0.9584,0.75,0.0,0.85,41.56,DROP
7543d40a7245053c3b4d9bea4b320c2b,0.5393,0.6,0.3243,0.4334,0.6926,0.75,0.0,0.85,41.47,DROP
1c087e4fe04d57f4f23d09666a00d4b7,0.5753,0.6,0.6752,0.0061,0.9475,0.75,0.0,0.85,40.99,DROP
a461a2fa41793580d91a245635b6bde7,0.9089,0.88,0.4367,0.1959,0.6114,0.0,0.0,0.85,40.96,DROP
3a9d089a0053a76de8beb0ff77d96b3c,0.6432,0.6,0.2927,0.0648,0.9908,0.65,0.0,0.85,40.82,DROP
e55863d6c88fb054415c223ed73866d6,0.9081,0.88,0.3478,0.2355,0.7193,0.0,0.0,0.85,40.69,DROP
b1061bc45a1add06a9d1e984ff050160,0.652,0.6,0.3258,0.0266,0.9233,0.65,0.0,0.85,40.63,DROP
07a3e2f75c2267ea9de46315c60f9e73,0.5547,0.6,0.4846,0.2389,0.9449,0.75,0.0,0.85,39.55,DROP
80dc5f799cb18138249aa1af3ca00137,0.8016,0.88,0.1813,0.4084,0.8852,0.0,0.0,0.85,38.92,DROP
f3cf4478c67d00d94556268e0c83dcd8,0.993,0.6,0.3488,0.1497,0.8327,0.0,0.0,0.85,38.81,DROP
d9e616ef8b0bbc2560713169bb609f94,0.5776,0.6,0.6254,0.3491,0.9023,0.0,0.0,0.85,38.74,DROP
2fca4fa0a0b2d7e69985dd7d178bb098,0.5584,0.6,0.6903,0.2801,0.846,0.0,0.0,0.85,38.45,DROP
3baaba33992e71457e9ac52acb0a9c50,0.7956,0.6,0.6513,0.0831,0.6391,0.0,0.0,0.85,38.39,DROP
9b085431a0ceb5d07f51de38222bcbff,0.775,0.6,0.1012,0.1532,0.723,0.65,0.0,0.85,38.28,DROP
482476d6e782f1908fd5796fe18a60ce,0.5441,0.6,0.6103,0.4922,0.8007,0.0,0.0,0.85,38.26,DROP
3d1a3e3c7512de438fe96703929e6d5f,0.652,0.6,0.0766,0.3628,0.7267,0.65,0.0,0.85,37.58,DROP
cfdf7270943cd3b839853d9904a2a87a,0.6159,0.6,0.2799,0.4766,0.7118,0.75,0.0,0.85,37.44,DROP
88f8cfcfc8e1d4d1a7ac0b66dd335ad8,0.993,0.6,0.3469,0.1722,0.6506,0.0,0.0,0.85,37.42,DROP
58087fc006feedd3e363040342a45e4d,0.993,0.6,0.1381,0.2834,0.9371,0.0,0.0,0.85,37.25,DROP
6cba86494233a7e2fd1d5b756c536e72,0.5657,0.6,0.3129,0.2698,0.9227,0.75,0.0,0.85,37.21,DROP
5d315bb79369d5111132f9e5156c63a1,0.52,0.6,0.5146,0.4211,0.8619,0.0,0.0,0.85,36.14,DROP
5320e1c4c5c9745f2a0fae4976e481ac,0.993,0.6,0.2121,0.2682,0.6562,0.0,0.0,0.85,35.99,DROP
688b3e39399839f87ea457bbc8d7486d,0.5157,0.88,0.2361,0.4754,0.922,0.0,0.0,0.85,35.88,DROP
a7ebeb026e8b2f4380d5b838e568d91d,0.993,0.6,0.1152,0.4737,0.6214,0.0,0.0,0.85,35.8,DROP
bacbc73ab18f0ac5103c96fb6800a10d,0.993,0.6,0.0861,0.4197,0.7281,0.0,0.0,0.85,35.75,DROP
dcc34e77b15c8bc4c8978c0721017edf,0.7441,0.6,0.4107,0.1837,0.7797,0.0,0.0,0.85,35.47,DROP
8dc0f45132ab1588c8b39088f2ab1700,0.637,0.9,0.3939,0.008,0.7464,0.0,0.0,0.85,35.41,DROP
4625fd4a13be55fe2c40b2fb835ddecb,0.993,0.6,0.1589,0.1176,0.8096,0.0,0.0,0.85,35.11,DROP
04605c2bb89173a1f9325e45419eeb74,0.6466,0.6,0.2941,0.4451,0.8997,0.0,0.0,0.85,35.07,DROP
6ad29617271a8f7fd52d8529dd0a61de,0.993,0.6,0.1091,0.2303,0.79,0.0,0.0,0.85,35.06,DROP
39020e78744e75065a43f335d7400d14,0.5188,0.6,0.3433,0.2273,0.6642,0.75,0.0,0.85,34.71,DROP
5228a19a57a7d72a3f3db57594a5595b,0.6037,0.6,0.5632,0.197,0.6258,0.0,0.0,0.85,34.48,DROP
3a8ed6077bebe6a59e19b285cc6fc46d,0.5474,0.6,0.0024,0.2113,0.7055,0.75,0.0,0.85,34.35,DROP
6ca16f6f114737146603cdacb25a04be,0.993,0.6,0.0595,0.157,0.7854,0.0,0.0,0.85,33.55,DROP
f13b503913d3ad4258cbe6a7826a4c01,0.5116,0.6,0.3183,0.0184,0.8903,0.65,0.0,0.85,33.24,DROP
c5121ba7b85d7b6bea3d1defdad0e006,0.7882,0.6,0.438,0.103,0.8537,0.0,0.0,0.85,32.23,DROP
54a4aa9ead82a996736d7915dc4beff1,0.5776,0.6,0.1598,0.4418,0.9716,0.0,0.0,0.85,32.2,DROP
c058e8624243a7e4389b8efeaf1dc717,0.7012,0.6,0.245,0.4021,0.8539,0.75,0.0,0.85,31.66,DROP
16d53e797cdaf4698ada550c09512c6a,0.5612,0.6,0.2947,0.2704,0.8315,0.0,0.0,0.85,31.57,DROP
58289f26f4d9b048c4e3a043c1093ee9,0.5444,0.6,0.4595,0.274,0.9554,0.0,0.0,0.85,30.95,DROP
