cluster_id,freshness,authority,social_velocity,engagement,sentiment,brand_fit,novelty,risk_penalty,total,decision
29c855a2a48819ff3d403c40d8ec38f0,0.9593,0.88,0.6575,0.1253,0.7669,1.0,0.0,0.85,59.04,WATCH
22306850ce9a52f439c3b4a71eecab73,0.9347,0.6,0.5782,0.3621,0.8773,0.75,0.0,0.85,53.47,WATCH
653f5657dc903b6a236e6bb1c7e30a3b,0.5977,0.9,0.699,0.4939,0.8518,0.65,0.0,0.85,53.24,WATCH
7e4fa4b01f3caf1a4191f2a73b2cbf9d,0.985,0.6,0.5199,0.1664,0.8566,0.75,0.0,0.85,51.49,WATCH
65db0d58aa108b6c609ebe1892d9bd4e,0.522,0.9,0.521,0.33,0.6636,1.0,0.0,0.85,50.4,WATCH
9b085431a0ceb5d07f51de38222bcbff,0.7419,0.6,0.6221,0.3392,0.9828,0.65,0.0,0.85,50.36,WATCH
82052aed9d507e2f1dc41ec7c81dac71,0.9351,0.6,0.4193,0.3562,0.705,0.75,0.0,0.85,49.26,DROP
fb3adba78eeb69aa491d2adae3b43047,0.985,0.6,0.3804,0.0926,0.7685,0.75,0.0,0.85,47.74,DROP
b1061bc45a1add06a9d1e984ff050160,0.6241,0.6,0.6038,0.336,0.7899,0.65,0.0,0.85,46.38,DROP
d50568662c799b882dfe5049414d094f,0.6246,0.6,0.6702,0.0914,0.8826,0.65,0.0,0.85,46.23,DROP
88f8cfcfc8e1d4d1a7ac0b66dd335ad8,0.985,0.6,0.6592,0.4903,0.743,0.0,0.0,0.85,46.08,DROP
915832511e7b422bc1c00c9d3d225ccc,0.985,0.6,0.0568,0.3256,0.944,0.75,0.0,0.85,45.72,DROP
2ac99dd7d44e02d866361b3948d79cb1,0.2268,0.88,0.6997,0.3446,0.6557,0.75,0.0,0.85,45.03,DROP
80dc5f799cb18138249aa1af3ca00137,0.7674,0.88,0.5919,0.3847,0.7821,0.0,0.0,0.85,44.25,DROP
243aae367195cfe58d09005ecb184fe4,0.985,0.6,0.4243,0.1447,0.7959,0.75,0.0,0.85,43.27,DROP
538f3d6043b38455c1814a4f3986c0b9,0.985,0.6,0.0761,0.2817,0.6415,0.75,0.0,0.85,43.1,DROP
7543d40a7245053c3b4d9bea4b320c2b,0.5162,0.6,0.4854,0.0953,0.8985,0.75,0.0,0.85,42.69,DROP
453f5afb7199c3443cca2fd229dab94c,0.9348,0.6,0.524,0.4106,0.7822,0.0,0.0,0.85,42.59,DROP
6cba86494233a7e2fd1d5b756c536e72,0.5415,0.6,0.6093,0.4121,0.9413,0.75,0.0,0.85,42.49,DROP
bacbc73ab18f0ac5103c96fb6800a10d,0.985,0.6,0.6366,0.1516,0.6958,0.0,0.0,0.85,42.42,DROP
59495c89bd6a811f2f230a3eddd14dc0,0.622,0.9,0.2459,0.1402,0.6349,0.75,0.0,0.85,42.38,DROP
a461a2fa41793580d91a245635b6bde7,0.8701,0.88,0.4261,0.4118,0.6094,0.0,0.0,0.85,41.94,DROP
c732f7c811481c26fd350783d19a4201,0.4554,0.6,0.6373,0.0438,0.6719,0.75,0.0,0.85,41.87,DROP
16509185820bde7000cc26aeb6d9ca00,0.6117,0.6,0.439,0.4462,0.988,0.75,0.0,0.85,41.59,DROP
5fa7d480a7f5516d5878056be8f415ab,0.4805,0.6,0.477,0.2765,0.9384,1.0,0.0,0.85,41.36,DROP
1e47f3f6c24ecc8efd27223dce3adcf7,0.2539,0.6,0.4705,0.4281,0.9435,0.75,0.0,0.85,41.19,DROP
dcc34e77b15c8bc4c8978c0721017edf,0.7123,0.6,0.6559,0.4384,0.7249,0.0,0.0,0.85,40.8,DROP
a7ebeb026e8b2f4380d5b838e568d91d,0.985,0.6,0.5251,0.0069,0.8682,0.0,0.0,0.85,40.76,DROP
59103eba30eb2aade03f9bd89ba45879,0.5858,0.6,0.4179,0.1272,0.6338,0.75,0.0,0.85,40.74,DROP
47fe1cbca29f4c3e27bdd6a2f2e933ef,0.4786,0.6,0.4255,0.2077,0.7044,0.75,0.0,0.85,40.34,DROP
d1bef031333bfce28b881ef219d71d87,0.935,0.6,0.4601,0.4212,0.6317,0.0,0.0,0.85,40.32,DROP
42688de2a4b9214edde4d0be18c80873,0.4417,0.6,0.5053,0.2873,0.6287,0.65,0.0,0.85,39.82,DROP
4e097015b4ba70dff0ac7615dc62bf87,0.9348,0.6,0.3213,0.4737,0.7936,0.0,0.0,0.85,39.78,DROP
920c5ea56464ce8b94141e612292335f,0.4004,0.88,0.6893,0.4403,0.6884,0.0,0.0,0.85,39.34,DROP
e55863d6c88fb054415c223ed73866d6,0.8693,0.88,0.3178,0.2836,0.6372,0.0,0.0,0.85,39.23,DROP
43818eb0c6d7ba1069726312cbc55d7a,0.9454,0.88,0.2322,0.0859,0.8252,0.0,0.0,0.85,38.98,DROP
5c38d3587cf2c9346adcd82073d2cc98,0.6156,0.6,0.3213,0.0292,0.7852,0.65,0.0,0.85,38.79,DROP
3baaba33992e71457e9ac52acb0a9c50,0.7616,0.6,0.519,0.2138,0.888,0.0,0.0,0.85,38.79,DROP
07a3e2f75c2267ea9de46315c60f9e73,0.531,0.6,0.5965,0.2025,0.665,0.75,0.0,0.85,38.5,DROP
ada0fb211c2dc5cf7b67776df9418fd3,0.4497,0.6,0.6486,0.1834,0.9594,0.6,0.0,0.85,38.44,DROP
c30bee51f6ebc751127d12d9065d0079,0.9353,0.6,0.2889,0.372,0.7821,0.0,0.0,0.85,38.27,DROP
16d53e797cdaf4698ada550c09512c6a,0.5373,0.6,0.6238,0.413,0.832,0.0,0.0,0.85,37.97,DROP
4b449676505dd933fc9f3b67ecb70e38,0.4472,0.6,0.6198,0.1726,0.7215,0.75,0.0,0.85,37.8,DROP
