published_at,decision,headline,source,urls,why_now,hook_suggested,cta_suggested
2025-09-25T03:09:58+00:00,WATCH,Former FBI Director Comey expected to be indicted soon in Virginia federal court: MSNBC,cnbc.com,https://www.cnbc.com/2025/09/24/james-comey-fbi-indictment-trump-congress.html,alto alinhamento com a marca; tendência em redes/trends,Por que isso importa: fed,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:00:37+00:00,WATCH,Careca do INSS deve ser ouvido nesta CPMI que investiga fraudes em descontos nesta quinta-feira,g1.globo.com,https://g1.globo.com/politica/noticia/2025/09/25/careca-do-inss-deve-ser-ouvido-nesta-cpmi-que-investiga-fraudes-em-descontos-nesta-quinta-feira.ghtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:19:39+00:00,WATCH,Ibama aprova resultado do simulado da Petrobras na Foz do Amazonas e solicita ajustes,infomoney.com.br,https://www.infomoney.com.br/mercados/ibama-aprova-resultado-de-simulado-da-petrobras-na-foz-do-amazonas-pede-ajustes/,tendência em redes/trends; fonte de alta autoridade,Por que isso importa: petrobras resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:19:29.762503+00:00,WATCH,"ONU vira palco de comédia, e um talk show vira palco de discurso político",www1.folha.uol.com.br,https://www1.folha.uol.com.br/colunas/lucia-guimaraes/2025/09/onu-vira-palco-de-comedia-e-um-talk-show-vira-palco-de-discurso-politico.shtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T23:30:53+00:00,WATCH,Confira o resultado da Quina do concurso 6835 desta quarta (24),infomoney.com.br,https://www.infomoney.com.br/consumo/confira-o-resultado-da-quina-do-concurso-6835-desta-quarta-24/,alto alinhamento com a marca; tendência em redes/trends; fonte de alta autoridade,Por que isso importa: resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T01:37:29+00:00,WATCH,Quina hoje: resultado do concurso 6835 e números sorteados,g1.globo.com,https://g1.globo.com/loterias/quina/noticia/2025/09/24/quina-hoje-resultado-do-concurso-6835-e-numeros-sorteados.ghtml,tendência em redes/trends,Por que isso importa: resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:00:47+00:00,DROP,Mega-Sena pode pagar R$ 54 milhões nesta quinta-feira,g1.globo.com,https://g1.globo.com/loterias/mega-sena/noticia/2025/09/25/mega-sena-pode-pagar-r-54-milhoes-nesta-quinta-feira.ghtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:19:29.762290+00:00,DROP,Feira em São Paulo traz queijos artesanais paulistas que foram premiados na França,guia.folha.uol.com.br,https://guia.folha.uol.com.br/restaurantes/2025/09/feira-em-sao-paulo-traz-queijos-artesanais-paulistas-que-foram-premiados-na-franca.shtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:35:14+00:00,DROP,Dupla Sena hoje: resultado do concurso 2864 e números sorteados,g1.globo.com,https://g1.globo.com/loterias/dupla-sena/noticia/2025/09/24/dupla-sena-hoje-resultado-do-concurso-2864-e-numeros-sorteados.ghtml,tendência em redes/trends,Por que isso importa: resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:35:29+00:00,DROP,Lotomania hoje: resultado do concurso 2827 e números sorteados,g1.globo.com,https://g1.globo.com/loterias/lotomania/noticia/2025/09/24/lotomania-hoje-resultado-do-concurso-2827-e-numeros-sorteados.ghtml,tendência em redes/trends,Por que isso importa: resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:19:29.762217+00:00,DROP,Agro quer financiamento climático para produtores rurais e lista demandas à COP30,www1.folha.uol.com.br,https://www1.folha.uol.com.br/ambiente/2025/09/agro-quer-financiamento-climatico-para-produtores-rurais-e-lista-demandas-a-cop30.shtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:19:29.762468+00:00,DROP,"Bolsonaro foi alertado de 'desvios, fraudes e irregularidades' no INSS durante transição, dizem peritos",www1.folha.uol.com.br,https://www1.folha.uol.com.br/mercado/2025/09/bolsonaro-foi-alertado-de-desvios-fraudes-e-irregularidades-no-inss-durante-transicao-dizem-peritos.shtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T18:30:46+00:00,DROP,Co-founder of $1.7 billion startup: The No. 1 thing entrepreneurs should do first to help their new business succeed,cnbc.com,https://www.cnbc.com/2025/09/24/zenbusiness-co-founder-first-time-business-owners-must-do-this-first.html,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T01:49:38+00:00,DROP,China's largest vehicle exporter Chery surges 11% in Hong Kong debut,cnbc.com,https://www.cnbc.com/2025/09/25/chinachinas-largest-vehicle-exporter-chery-surges-11percent-in-hong-kong-debut.html,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:19:29.762070+00:00,DROP,Palmeiras derruba River e chega à sua quinta semifinal em seis Libertadores,www1.folha.uol.com.br,https://www1.folha.uol.com.br/esporte/2025/09/palmeiras-derruba-river-e-chega-a-sua-quinta-semifinal-em-seis-libertadores.shtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:19:29.762031+00:00,DROP,Palmeiras vence River Plate (3-1) e vai às semifinais da Libertadores,noticias.uol.com.br,https://noticias.uol.com.br/ultimas-noticias/afp/2025/09/24/palmeiras-vence-river-plate-3-1-e-vai-as-semifinais-da-libertadores-ercagaam.htm,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T23:26:55+00:00,DROP,Lei que autorizava enfermeiros a fazerem suturas simples é derrubada no Acre,g1.globo.com,https://g1.globo.com/ac/acre/noticia/2025/09/24/lei-que-autorizava-enfermeiros-a-fazerem-suturas-simples-e-derrubada-no-acre.ghtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:00:41+00:00,DROP,"PF apreendeu 14 veículos ligados ao Careca do INSS avaliados em R$ 6,3 milhões; veja lista",g1.globo.com,https://g1.globo.com/politica/noticia/2025/09/25/pf-apreendeu-14-veiculos-ligados-ao-careca-do-inss-avaliados-em-r-63-milhoes-veja-lista.ghtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T23:44:07+00:00,DROP,"Zelador foi rendido ao identificar ladrão de peruca no elevador de prédio alvo de arrastão em Ribeirão Preto, SP",g1.globo.com,https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2025/09/24/zelador-foi-rendido-ao-identificar-ladrao-de-peruca-no-elevador-de-predio-alvo-de-arrastao-em-ribeirao-preto-sp.ghtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:19:29.762179+00:00,DROP,"Reação popular à PEC da Blindagem surpreendeu centrão, dizem parlamentares",www1.folha.uol.com.br,https://www1.folha.uol.com.br/colunas/painel/2025/09/reacao-popular-a-pec-da-blindagem-surpreendeu-centrao-dizem-parlamentares.shtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:34:00+00:00,DROP,Lotofácil 3495: confira as 15 dezenas sorteadas nesta quarta (24),infomoney.com.br,https://www.infomoney.com.br/consumo/lotofacil-3495-confira-as-15-dezenas-sorteadas-nesta-quarta-24/,fonte de alta autoridade,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T02:34:51+00:00,DROP,"Nvidia's investment in OpenAI will be in cash, and most will be used to lease Nvidia chips",cnbc.com,https://www.cnbc.com/2025/09/24/nvidia-openai-investment-in-cash-mostly-used-to-lease-nvidia-chips.html,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T22:41:45+00:00,DROP,Prefeitura multa BRK em mais de R$ 195 mil após moradores reclamarem de falta de água em bairros de Palmas,g1.globo.com,https://g1.globo.com/to/tocantins/noticia/2025/09/24/prefeitura-multa-brk-em-mais-de-r-195-mil-apos-moradores-reclamarem-de-falta-de-agua-em-bairros-de-palmas.ghtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:28:01+00:00,DROP,Ministro da Casa Civil diz que governo pode ir à Justiça contra preços abusivos em hotéis na COP em Belém,g1.globo.com,https://g1.globo.com/pa/para/noticia/2025/09/24/ministro-da-casa-civil-diz-que-governo-pode-ir-a-justica-contra-precos-abusivos-em-hoteis-na-cop-em-belem.ghtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T23:01:05+00:00,DROP,"Delegado do Demacro sofre tentativa de assalto e atira contra criminoso em Pinheiros, na Zona Oeste de SP",g1.globo.com,https://g1.globo.com/sp/sao-paulo/noticia/2025/09/24/delegado-do-demacro-sofre-tentativa-de-assalto-e-atira-contra-criminoso-em-pinheiros-na-zona-oeste.ghtml,alto alinhamento com a marca,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T19:11:23+00:00,DROP,Por que Milei precisou pedir ajuda aos EUA para lidar com crise econômica na Argentina?,bbc.com,https://www.bbc.com/portuguese/articles/cy50gez9z6no?at_medium=RSS&at_campaign=rss,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T01:22:49+00:00,DROP,Drones suspeitos voltam a obrigar autoridades a fechar aeroporto na Dinamarca,g1.globo.com,https://g1.globo.com/mundo/noticia/2025/09/24/drones-suspeitos-voltam-a-obrigar-autoridades-a-fechar-aeroporto-na-dinamarca.ghtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:19:29.762144+00:00,DROP,"Centrão vê 3º fracasso de PEC da Blindagem em 4 anos, dessa vez com Senado posando de bom-moço",www1.folha.uol.com.br,https://www1.folha.uol.com.br/poder/2025/09/centrao-ve-3o-fracasso-de-pec-da-blindagem-em-4-anos-dessa-vez-com-senado-posando-de-bom-moco.shtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:12:24+00:00,DROP,Câmara aprova projeto que retira do arcabouço fiscal investimentos em saúde e educação financiados com Fundo Social,g1.globo.com,https://g1.globo.com/politica/noticia/2025/09/24/camara-aprova-projeto-que-retira-do-arcabouco-fiscal-investimentos-em-saude-e-educacao-financiados-com-fundo-social.ghtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T22:59:40+00:00,DROP,Haddad defende governo e diz que vai recorrer após TCU alertar sobre irregularidade na busca da meta fiscal,g1.globo.com,https://g1.globo.com/economia/noticia/2025/09/24/haddad-defende-governo-e-diz-que-vai-recorrer-apos-tcu-apontar-manobra-para-meta-fiscal.ghtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:00:45+00:00,DROP,Mortes por câncer devem crescer 75% até 2050; aumento será puxado por países pobres e em desenvolvimento,g1.globo.com,https://g1.globo.com/saude/noticia/2025/09/25/mortes-por-cancer-devem-crescer-75percent-ate-2050-aumento-sera-puxado-por-paises-pobres-e-em-desenvolvimento.ghtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T22:30:47+00:00,DROP,Loteria Federal hoje: resultado do concurso 6003 e números sorteados,g1.globo.com,https://g1.globo.com/loterias/loteria-federal/noticia/2025/09/24/loteria-federal-hoje-resultado-do-concurso-6003-e-numeros-sorteados.ghtml,tendência em redes/trends,Por que isso importa: fed resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:00:39+00:00,DROP,Julgamento de Eduardo Bolsonaro no STF que pode torná-lo inelegível pode para 2026,g1.globo.com,https://g1.globo.com/politica/blog/andreia-sadi/post/2025/09/25/julgamento-de-eduardo-bolsonaro-no-stf-que-pode-torna-lo-inelegivel-pode-para-2026.ghtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T21:55:26+00:00,DROP,Chicago Bears valued at nearly $9 billion in minority stake sale that sets an NFL record: Sources,cnbc.com,https://www.cnbc.com/2025/09/24/nfl-approves-sale-of-stake-in-chicago-bears-at-8point9-billion-valuation-sources.html,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T02:34:32+00:00,DROP,Asia-Pacific markets trade mixed as investors sell tech names on Wall Street,cnbc.com,https://www.cnbc.com/2025/09/25/asia-markets.html,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:04:43+00:00,DROP,"U.S. expands tariff dragnet to masks, syringes and robotics in sweeping import probe",cnbc.com,https://www.cnbc.com/2025/09/25/trump-tariff-threat-looms-over-robotics-and-medical-devices-section232-import-investigation.html,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:30:17+00:00,DROP,Super Sete hoje: resultado do concurso 750 e números sorteados,g1.globo.com,https://g1.globo.com/loterias/super-sete/noticia/2025/09/24/super-sete-hoje-resultado-do-concurso-750-e-numeros-sorteados.ghtml,relevância moderada,Por que isso importa: resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
