cluster_id,volume_twitter,engagement_twitter,velocity_fused,sentiment_mean,sentiment_var,trends_interest,trends_velocity,trends_topics,sample_users
59495c89bd6a811f2f230a3eddd14dc0,86,0.1301,0.2022,-0.2909,0.1,0.0,0.0,,
8dc0f45132ab1588c8b39088f2ab1700,79,0.3139,0.6137,0.3929,0.1,0.0,0.0,,
653f5657dc903b6a236e6bb1c7e30a3b,96,0.1604,0.1287,-0.1456,0.1,0.0,0.0,,
65db0d58aa108b6c609ebe1892d9bd4e,76,0.1474,0.1731,0.0351,0.1,0.0,0.0,,
45385eeb23908dacc64c493243ed88a3,49,0.0416,0.008,-0.1762,0.1,0.0,0.0,,
feea7868dfd4581ab85dcd309cf30add,99,0.0643,0.6993,0.006,0.1,0.0,0.0,,
57a72530a68c8363392911e12385bde7,69,0.4071,0.4322,-0.2038,0.1,0.0,0.0,,
dbdc4b80f2559c9ce0697587fe8a71af,10,0.1847,0.4004,0.0599,0.1,0.0,0.0,,
354f36f937a4e97fad9441673e2bce21,1,0.3085,0.5645,-0.1259,0.1,0.0,0.0,,
7c4d8c8795b828941dfc9aba49bd50e7,71,0.2331,0.6326,-0.3536,0.1,0.0,0.0,,
f261e3dc50b9f154f14760d635197192,78,0.2859,0.3828,-0.0546,0.1,0.0,0.0,,
3baaba33992e71457e9ac52acb0a9c50,19,0.2086,0.3192,0.3149,0.1,0.0,0.0,,
c5121ba7b85d7b6bea3d1defdad0e006,1,0.3791,0.5774,-0.1333,0.1,0.0,0.0,,
9b085431a0ceb5d07f51de38222bcbff,51,0.1991,0.069,0.3127,0.1,0.0,0.0,,
c7c84eae88e6d974aeee34bacc6db015,46,0.0831,0.5684,-0.1443,0.1,0.0,0.0,,
dcc34e77b15c8bc4c8978c0721017edf,97,0.2495,0.4445,0.3542,0.1,0.0,0.0,,
8d4b4106c2d0f5dfd6749953e975592f,56,0.0287,0.3412,0.1025,0.1,0.0,0.0,,
c058e8624243a7e4389b8efeaf1dc717,57,0.2103,0.6974,-0.0458,0.1,0.0,0.0,,
572cea8fa774ddea15e98d15c9c5183e,17,0.1456,0.2351,0.0814,0.1,0.0,0.0,,
5c9f81a594531db65b727edd48ef030b,7,0.2261,0.5628,0.1065,0.1,0.0,0.0,,
d50568662c799b882dfe5049414d094f,17,0.2733,0.2478,0.0654,0.1,0.0,0.0,,
3d1a3e3c7512de438fe96703929e6d5f,109,0.1555,0.3211,0.0676,0.1,0.0,0.0,,
b1061bc45a1add06a9d1e984ff050160,31,0.3068,0.2676,0.1635,0.1,0.0,0.0,,
04605c2bb89173a1f9325e45419eeb74,25,0.4089,0.5339,-0.3377,0.1,0.0,0.0,,
3a9d089a0053a76de8beb0ff77d96b3c,57,0.3286,0.0002,0.108,0.1,0.0,0.0,,
5c38d3587cf2c9346adcd82073d2cc98,66,0.3328,0.6093,-0.0945,0.1,0.0,0.0,,
16509185820bde7000cc26aeb6d9ca00,48,0.2574,0.0546,0.0358,0.1,0.0,0.0,,
cfdf7270943cd3b839853d9904a2a87a,71,0.1869,0.3363,-0.3745,0.1,0.0,0.0,,
59103eba30eb2aade03f9bd89ba45879,7,0.4608,0.6946,0.0174,0.1,0.0,0.0,,
40c627686bddb9817937686932979f9e,99,0.2499,0.3377,-0.0916,0.1,0.0,0.0,,
5228a19a57a7d72a3f3db57594a5595b,2,0.1629,0.08,-0.1081,0.1,0.0,0.0,,
4d44dda5bc01f9b94d86f3d139b03956,91,0.146,0.687,0.0951,0.1,0.0,0.0,,
54a4aa9ead82a996736d7915dc4beff1,4,0.0898,0.0718,0.0143,0.1,0.0,0.0,,
d9e616ef8b0bbc2560713169bb609f94,100,0.0162,0.4352,-0.3192,0.1,0.0,0.0,,
1c087e4fe04d57f4f23d09666a00d4b7,92,0.193,0.3548,-0.1124,0.1,0.0,0.0,,
6cba86494233a7e2fd1d5b756c536e72,53,0.0606,0.0453,0.0223,0.1,0.0,0.0,,
3af273019b3e88ba6039e00844cb9bef,35,0.2808,0.2766,0.049,0.1,0.0,0.0,,
16d53e797cdaf4698ada550c09512c6a,32,0.2918,0.3375,0.1709,0.1,0.0,0.0,,
2fca4fa0a0b2d7e69985dd7d178bb098,35,0.2602,0.0194,0.0396,0.1,0.0,0.0,,
07a3e2f75c2267ea9de46315c60f9e73,106,0.4213,0.4829,-0.1986,0.1,0.0,0.0,,
18321d520ad6239b8e1e549cc10263bd,40,0.0227,0.0289,-0.27,0.1,0.0,0.0,,
3a8ed6077bebe6a59e19b285cc6fc46d,35,0.0874,0.357,0.1263,0.1,0.0,0.0,,
58289f26f4d9b048c4e3a043c1093ee9,44,0.4791,0.3071,-0.2124,0.1,0.0,0.0,,
482476d6e782f1908fd5796fe18a60ce,39,0.4776,0.0791,0.2457,0.1,0.0,0.0,,
7543d40a7245053c3b4d9bea4b320c2b,62,0.4146,0.6881,-0.3472,0.1,0.0,0.0,,
700067bff686d4793f986add017471d4,31,0.4995,0.1895,-0.3576,0.1,0.0,0.0,,
07f498f6082531c6b69e19f77dcf3d6e,75,0.3006,0.0657,-0.078,0.1,0.0,0.0,,
941cbe346fa3decbfe830a35e15f9f27,71,0.3702,0.4261,0.2279,0.1,0.0,0.0,,
46ed858d39955baa9bd860ddc3eeac8f,57,0.4208,0.3211,-0.1734,0.1,0.0,0.0,,
d22c0e9198096bf43c3d44e85605ecaf,9,0.2358,0.4516,0.0496,0.1,0.0,0.0,,
39020e78744e75065a43f335d7400d14,0,0.1227,0.1072,0.1508,0.1,0.0,0.0,,
0cb761b43b488fb2531a738d25ae8366,42,0.0345,0.4699,0.2883,0.1,0.0,0.0,,
f13b503913d3ad4258cbe6a7826a4c01,50,0.2193,0.0898,0.2217,0.1,0.0,0.0,,
d3f0a861494d67a4ad51c5b393d78d54,37,0.2125,0.568,-0.1443,0.1,0.0,0.0,,
0d63ae4dcfe9ba9d4e6496586bde3047,25,0.3784,0.3974,0.0593,0.1,0.0,0.0,,
5fa7d480a7f5516d5878056be8f415ab,89,0.0006,0.0612,-0.2322,0.1,0.0,0.0,,
47fe1cbca29f4c3e27bdd6a2f2e933ef,2,0.1523,0.3674,0.0898,0.1,0.0,0.0,,
c88f886ba1fae46e51dc26488663c075,117,0.2863,0.299,-0.3739,0.1,0.0,0.0,,
6b295dec62ecaf26f79aa6c6529a949e,97,0.2506,0.205,0.0705,0.1,0.0,0.0,,
5e4928fea37f5d0db93dd07cf01f16d4,49,0.0154,0.6182,0.1104,0.1,0.0,0.0,,
d36e22d4d6de6bf5fe6fdd477f1ba6da,87,0.3201,0.5576,-0.3771,0.1,0.0,0.0,,
84bccbbc2668fea2b6a583f218083a10,41,0.2446,0.3118,0.3003,0.1,0.0,0.0,,
39133d336975eb757ddf0d3ebe765d10,14,0.3262,0.4311,0.0498,0.1,0.0,0.0,,
511ab068bcb13030996f0183b966444d,68,0.1016,0.6543,-0.0161,0.1,0.0,0.0,,
97bbdb77988154e444c74ee40ad422b4,112,0.4146,0.3189,0.0587,0.1,0.0,0.0,,
39e09aa816cdb6d12094b16ec9a989e1,42,0.2386,0.5654,-0.2913,0.1,0.0,0.0,,
c732f7c811481c26fd350783d19a4201,56,0.2885,0.2792,0.3721,0.1,0.0,0.0,,
8cdd62d8774b0ed26ddc3156dd3fbbae,73,0.4023,0.4529,0.1859,0.1,0.0,0.0,,
3d0af0599f00359dc547922e5597efcd,72,0.3114,0.3899,-0.1095,0.1,0.0,0.0,,
ada0fb211c2dc5cf7b67776df9418fd3,112,0.1662,0.07,0.1512,0.1,0.0,0.0,,
e075c2b0f8be6ec0e2f4e39cf66b9940,111,0.2761,0.5518,-0.2503,0.1,0.0,0.0,,
76a60e49ffa2167bc796b11925d39765,42,0.1759,0.1092,0.0811,0.1,0.0,0.0,,
4b449676505dd933fc9f3b67ecb70e38,31,0.1244,0.0162,0.3691,0.1,0.0,0.0,,
8df385533909497f247163efaf71a47d,95,0.3569,0.1098,-0.0365,0.1,0.0,0.0,,
88013aab2a80138525689af707b11e93,49,0.446,0.6703,0.3536,0.1,0.0,0.0,,
153ec577043af2abbb9d790e6dfb64b1,79,0.1599,0.6744,-0.054,0.1,0.0,0.0,,
42688de2a4b9214edde4d0be18c80873,12,0.4573,0.2665,0.3801,0.1,0.0,0.0,,
fdfc312229153b6f6ab9590a18088a3a,100,0.4488,0.6959,0.2205,0.1,0.0,0.0,,
d8ada3dbc01e0c1e0317dca938ec2c13,69,0.4923,0.2564,-0.1111,0.1,0.0,0.0,,
81a8928ea497649862e8ade2f42a65b5,62,0.3924,0.6765,-0.3975,0.1,0.0,0.0,,
bd2436eac04b817bedcad85b36597869,29,0.3799,0.5416,0.1,0.1,0.0,0.0,,
7fbc666623af2d61fc8fc18b6364d3b7,25,0.2496,0.0033,0.2382,0.1,0.0,0.0,,
242a710ff6504b6fbb242d9075db267c,87,0.0297,0.6566,0.0415,0.1,0.0,0.0,,
62a69218c166ecc8f4f9aa8243516f1e,18,0.0271,0.2784,-0.1373,0.1,0.0,0.0,,
