published_at,decision,headline,source,urls,why_now,hook_suggested,cta_suggested
2025-09-25T03:09:58+00:00,WATCH,Former FBI Director Comey expected to be indicted soon in Virginia federal court: MSNBC,cnbc.com,https://www.cnbc.com/2025/09/24/james-comey-fbi-indictment-trump-congress.html,alto alinhamento com a marca; tendência em redes/trends,Por que isso importa: fed,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:12:24+00:00,WATCH,Câmara aprova projeto que retira do arcabouço fiscal investimentos em saúde e educação financiados com Fundo Social,g1.globo.com,https://g1.globo.com/politica/noticia/2025/09/24/camara-aprova-projeto-que-retira-do-arcabouco-fiscal-investimentos-em-saude-e-educacao-financiados-com-fundo-social.ghtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:14:05.504192+00:00,WATCH,Palmeiras vence River Plate (3-1) e vai às semifinais da Libertadores,noticias.uol.com.br,https://noticias.uol.com.br/ultimas-noticias/afp/2025/09/24/palmeiras-vence-river-plate-3-1-e-vai-as-semifinais-da-libertadores-ercagaam.htm,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:14:05.504638+00:00,DROP,"Bolsonaro foi alertado de 'desvios, fraudes e irregularidades' no INSS durante transição, dizem peritos",www1.folha.uol.com.br,https://www1.folha.uol.com.br/mercado/2025/09/bolsonaro-foi-alertado-de-desvios-fraudes-e-irregularidades-no-inss-durante-transicao-dizem-peritos.shtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:30:17+00:00,DROP,Super Sete hoje: resultado do concurso 750 e números sorteados,g1.globo.com,https://g1.globo.com/loterias/super-sete/noticia/2025/09/24/super-sete-hoje-resultado-do-concurso-750-e-numeros-sorteados.ghtml,tendência em redes/trends,Por que isso importa: resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:04:43+00:00,DROP,"U.S. expands tariff dragnet to masks, syringes and robotics in sweeping import probe",cnbc.com,https://www.cnbc.com/2025/09/25/trump-tariff-threat-looms-over-robotics-and-medical-devices-section232-import-investigation.html,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:14:05.504673+00:00,DROP,"ONU vira palco de comédia, e um talk show vira palco de discurso político",www1.folha.uol.com.br,https://www1.folha.uol.com.br/colunas/lucia-guimaraes/2025/09/onu-vira-palco-de-comedia-e-um-talk-show-vira-palco-de-discurso-politico.shtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T23:26:55+00:00,DROP,Lei que autorizava enfermeiros a fazerem suturas simples é derrubada no Acre,g1.globo.com,https://g1.globo.com/ac/acre/noticia/2025/09/24/lei-que-autorizava-enfermeiros-a-fazerem-suturas-simples-e-derrubada-no-acre.ghtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:14:05.504232+00:00,DROP,Palmeiras derruba River e chega à sua quinta semifinal em seis Libertadores,www1.folha.uol.com.br,https://www1.folha.uol.com.br/esporte/2025/09/palmeiras-derruba-river-e-chega-a-sua-quinta-semifinal-em-seis-libertadores.shtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T23:30:53+00:00,DROP,Confira o resultado da Quina do concurso 6835 desta quarta (24),infomoney.com.br,https://www.infomoney.com.br/consumo/confira-o-resultado-da-quina-do-concurso-6835-desta-quarta-24/,alto alinhamento com a marca; fonte de alta autoridade,Por que isso importa: resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:14:05.504310+00:00,DROP,"Centrão vê 3º fracasso de PEC da Blindagem em 4 anos, dessa vez com Senado posando de bom-moço",www1.folha.uol.com.br,https://www1.folha.uol.com.br/poder/2025/09/centrao-ve-3o-fracasso-de-pec-da-blindagem-em-4-anos-dessa-vez-com-senado-posando-de-bom-moco.shtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T01:49:38+00:00,DROP,China's largest vehicle exporter Chery surges 11% in Hong Kong debut,cnbc.com,https://www.cnbc.com/2025/09/25/chinachinas-largest-vehicle-exporter-chery-surges-11percent-in-hong-kong-debut.html,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:14:05.504457+00:00,DROP,Feira em São Paulo traz queijos artesanais paulistas que foram premiados na França,guia.folha.uol.com.br,https://guia.folha.uol.com.br/restaurantes/2025/09/feira-em-sao-paulo-traz-queijos-artesanais-paulistas-que-foram-premiados-na-franca.shtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
